App Name,API Product,API Proxy
NDBWEB,BDOPay2-BB-PROD,SendMoneyBDO
NDBWEB,BDOPay2-BB-PROD,SendMoneyInstapayRequest-v2
NDBWEB,BDOPay2-BB-PROD,SendMoneyInstapay-v2
NDBWEB,BDOPay2-BB-PROD,BillsPaymentTransactions-v1
NDBWEB,BDOPay2-BB-PROD,BillsPaymentRequest-v1
NDBWEB,BDOPay2-BB-PROD,CasaAccounts-v2
NDBWEB,BDOPay2-BB-PROD,ApiBanking-Logout-v1
NDBWEB,BDOPay2-BB-PROD,ApiBanking-ChangePassword-v1
NDBWEB,BDOPay2-BB-PROD,ApiBanking-2-Way-SMS-v0
NDBWEB,BDOPay2-BB-PROD,ApiBanking-Login2FA-v1
NDBWEB,BDOPay2-BB-PROD,LoanAccounts-v1
NDBWEB,BDOPay2-BB-PROD,TDAccounts-v1
NDBWEB,BDOPay2-BB-PROD,PrepaidMobileReloadImmediate-v1
NDBWEB,BDOPay2-BB-PROD,SendMoneyScheduledRequest-v2
NDBWEB,BDOPay2-BB-PROD,SendMoneyScheduled-v2
NDBWEB,BDOPay2-BB-PROD,PrepaidMobileReloadRequest-v1
NDBWEB,BDOPay2-BB-PROD,ApiBanking-AccountsSignUpCASA-v1
NDBWEB,BDOPay2-BB-PROD,ApiBanking-AccountsSignUpCreditCard-v1
NDBWEB,BDOPay2-BB-PROD,ApiBanking-UserRegistrations-v1
NDBWEB,BDOPay2-BB-PROD,CreditCardAccounts-v1
NDBWEB,BDOPay2-BB-PROD,commSigBalanceInq-v1
NDBWEB,BDOPay2-BB-PROD,ApiBanking-AtmQr-v1
NDBWEB,BDOPay2-BB-PROD,CreditCardAccounts-v2
NDBWEB,BDOPay2-BB-PROD,SendMoneyScheduled-v2-1
NDBWEB,BDOPay2-BB-PROD,ApiBanking-CreditCardAccountsTokenized-v4
NDBWEB,BDOPay2-BB-PROD,CreditCardAccounts-v4
NDBWEB,BDOPay2-BB-PROD,GetDebitCardInfo-V1
NDBWEB,BDOPay2-BB-PROD,QrProcessor-v4
NDBWEB,BDOPay2-BB-PROD,DebitCardSecurityManagement-v1
NDBWEB,BDOPay2-BB-PROD,CreditCardSecurityManagement-v1
NDBWEB,BDOPay2-BB-PROD,RefreshTokenImport-v1
NDBWEB,BDOPay2-BB-PROD,ApiBanking-ChangeEmail-v1
NDBWEB,BDOPay2-BB-PROD,ApiBanking-ChangeSMS-v1
NDBWEB,BDOPay2-BB-PROD,BOP-CasaAcounts-v1
NDBWEB,SendMoneyUSDToPHPImmediate,SendMoneyUSDToPHP-v1
NDBWEB,SendMoneyUSDToPHPImmediate,SendMoneyUSDToPHPRequest-v1
NDBWEB,SendMoneyInstapayScheduled,SendMoneyInstapayScheduledRequest-v1
NDBWEB,SendMoneyInstapayScheduled,SendMoneyInstapayScheduled-v1
NDBWEB,CreditCard-eSOA-v1,CreditCard-eSOA-Tokenized-v1
NDBWEB,StopPaymentOrder-v1,StopPaymentOrder-v1
NDBWEB,BillsPayScheduled-PROD,BillsPaymentScheduledTransactions-v1
NDBWEB,BillsPayScheduled-PROD,BillsPaymentScheduledTransactions-v2
NDBWEB,BillsPayScheduled-PROD,BillsPaySearch-v0
NDBWEB,BillsPayScheduled-PROD,BillsPaymentScheduledRequest-v2
NDBWEB,PrepaidMobileReloadScheduled-PROD,PrepaidMobileReloadScheduled-v1
NDBWEB,PrepaidMobileReloadScheduled-PROD,PrepaidMobileReloadScheduled-v2
NDBWEB,PrepaidMobileReloadScheduled-PROD,PrepaidMobileReloadScheduledRequest-v2
NDBWEB,MPS-RegisterCustomerService,Retail-MPS-RegisterCustomerService-V1
NDBWEB,MPS-RegisterCustomerService,Retail-MPS-RegisterCustomerService-V1
NDBWEB,MPS-RegisterCustomerService,Retail-MPS-RegisterCustomerService-V1
NDBWEB,MPS-RegisterCustomerService,Retail-MPS-RegisterCustomerService-V1
NDBWEB,MPS-RegisterCustomerService,ApiBanking-Login-v1
ADA-Local-App,ADA-Product-PREPROD,ADA-Get_App_Attributes-V1
ADA-Local-App,ADA-Product-PREPROD,ADA-Authorize_Redirect-v1
ADA-Local-App,ADA-Product-PREPROD,CBG-CJ_CC-ApiBanking_Login-V1
Backbase-NDB-MOB-App,BDOPay2-BB-PREPROD,ApiBanking-DeviceRegistration-v1
Backbase-NDB-MOB-App,BDOPay2-BB-PREPROD,ApiBanking-Login-v1
