App Name,API Product,Environments,API Proxy
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",SendMoneyInstaPay-v1
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",QrTransactions-v2
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",QrRequest-v2
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",SendMoneyImmediate-v2
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",SendMoneyBDO
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",SendMoneyInstapayRequest-v2
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",SendMoneyInstapay-v2
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",BillsPaymentTransactions-v1
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",BillsPaymentRequest-v1
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",CasaAccounts-v2
