App Name,API Product,Environments,API Proxy
BDO-Pay-POS,BDOPay2-Swiftpass-PROD,"int-prod-1,int-prod-2,int-prod-3,int-prod-4",MPQR-SP-V1
BDO-Pay-POS,BDOPay2-Swiftpass-PROD,"int-prod-1,int-prod-2,int-prod-3,int-prod-4",StatusEnquiry-SP-V1
BDO-Pay-POS,BDOPay2-Swiftpass-PROD,"int-prod-1,int-prod-2,int-prod-3,int-prod-4",VOIDTransaction-MS-V2
BDO-Pay-POS,BDOPay2-Swiftpass-PROD,"int-prod-1,int-prod-2,int-prod-3,int-prod-4",CPQRAuthorization-SP-V1
BDO-Pay-POS,BDOPay2-Swiftpass-PROD,"int-prod-1,int-prod-2,int-prod-3,int-prod-4",CCNotification-SP-V1
BDO-Pay-POS,BDOPay2-Swiftpass-PROD,"int-prod-1,int-prod-2,int-prod-3,int-prod-4",VoidAuthorization-SP-V1
BDO-Pay-POS,BDOPay2-Swiftpass-PROD,"int-prod-1,int-prod-2,int-prod-3,int-prod-4",CASANotification-SP-V1
BDO-Pay-POS,BDOPay2-Swiftpass-PROD,"int-prod-1,int-prod-2,int-prod-3,int-prod-4",QrProcessor-v4
PHQR-Keys,Merchant-Presented-QR-v1,"int-prod-1,int-prod-2,int-prod-3,int-prod-4",Merchant-Presented-QR-v1
PHQR-Keys,Merchant-Presented-QR-v1,"int-prod-1,int-prod-2,int-prod-3,int-prod-4",OAuth2-Token-API-V1
PHQR-Keys,OAuth2-Token-v2,"int-prod-1,int-prod-2,int-prod-3,int-prod-4",OAuth2-Token-API-V1
BDOPay2-PROD,ApiBanking-CIAM-v1-PROD,"int-prod-1,int-prod-2,int-prod-3,int-prod-4",ApiBanking-GetUsersByCIF-v1
BDOPay2-PROD,ApiBanking-CIAM-v1-PROD,"int-prod-1,int-prod-2,int-prod-3,int-prod-4",ApiBanking-Login-v1
BDOPay2-PROD,ApiBanking-CIAM-v1-PROD,"int-prod-1,int-prod-2,int-prod-3,int-prod-4",ApiBanking-Logout-v1
BDOPay2-PROD,ApiBanking-CIAM-v1-PROD,"int-prod-1,int-prod-2,int-prod-3,int-prod-4",ApiBanking-UserAttributes-v1
BDOPay2-PROD,ApiBanking-CIAM-v1-PROD,"int-prod-1,int-prod-2,int-prod-3,int-prod-4",ApiBanking-Login2FA-v1
BDOPay2-PROD,BDOPay-QR-v2-PROD,"int-prod-1,int-prod-2,int-prod-3,int-prod-4",QrProcessor-v4
BOB-Prod,OAuth2-Token-v2,"int-prod-1,int-prod-2,int-prod-3,int-prod-4",OAuth2-Token-API-V1
BOB-Prod,PESONet,"int-prod-1,int-prod-2,int-prod-3,int-prod-4",Edge-PESONet-BAPI
BRS---Pesonet-API,OAuth2-Token-v2,"int-prod-1,int-prod-2,int-prod-3,int-prod-4",OAuth2-Token-API-V1
BRS---Pesonet-API,PESONet,"int-prod-1,int-prod-2,int-prod-3,int-prod-4",Edge-PESONet-BAPI
CMS,OAuth2-Token-v2,"int-prod-1,int-prod-2,int-prod-3,int-prod-4",OAuth2-Token-API-V1
