App Name,API Product,Environments,API Proxy
Grab-Direct-Debit,FinTech-DirectLink-v1,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",FinTech-PaymentStatus
Grab-Direct-Debit,FinTech-DirectLink-v1,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",FinTech-ResendOTP
Grab-Direct-Debit,FinTech-DirectLink-v1,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",FinTech-Token
Grab-Direct-Debit,FinTech-DirectLink-v1,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",FinTech-Unlinking
Grab-Direct-Debit,FinTech-DirectLink-v1,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",FinTech-ValidateOTP
PHQR-Notification-PROD,Swift-Pass-v1,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",Swift-Pass-API
PHQR-Notification-PROD,OAuth2-Token-v2,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",OAuth2-Token-API-V1
PHQR-Notification-PROD,OAuth2-Token-v2,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",OAuth2-Token-API
PHQR-Keys,Merchant-Presented-QR-v1,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",Merchant-Presented-QR-v1
PHQR-Keys,OAuth2-Token-v2,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",OAuth2-Token-API-V1
PHQR-Keys,OAuth2-Token-v2,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",OAuth2-Token-API
BDO-Checkout-Prod,OAuth2-Token-v2,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",OAuth2-Token-API-V1
BDO-Checkout-Prod,OAuth2-Token-v2,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",OAuth2-Token-API
BDO-Checkout-Prod,Switch-Card-Utility-v1,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",SCU-Transaction-Inquiry-v1
MS-Dynamics-365,OAuth2-Token-v2,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",OAuth2-Token-API-V1
MS-Dynamics-365,OAuth2-Token-v2,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",OAuth2-Token-API
MS-Dynamics-365,CCM-v1-PROD,"ext-prod-1,ext-prod-2,ext-prod-3,ext-prod-4,ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",CCM-v1-BAPI
MS-Dynamics-365,Communicator-Gateway-PROD,"ext-prod-1,ext-prod-2,ext-prod-3,ext-prod-4",Communicator-Gateway-API
CJ-CASA,CJ-Backbase-v1-PROD,"ext-prod-1,ext-prod-2,ext-prod-3,ext-prod-4",CJ-Backbase-v1
CJ-CASA,CJ-Backbase-v1-PROD,"ext-prod-1,ext-prod-2,ext-prod-3,ext-prod-4",CBG-CJ_CC-ApiBanking_Login-V1
QMS-PROD,ApiBanking-BillsPayment-v1-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",ApiBanking-Billers-v2
QMS-PROD,ApiBanking-CIAM-v1-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",ApiBanking-Login-v1
QMS-PROD,BankGenie-v1-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",BankGenie-v1
ACS_CCM,CCM-v1-PROD,"ext-prod-1,ext-prod-2,ext-prod-3,ext-prod-4,ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",CCM-v1-BAPI
ACS_CCM,CCM-Utilities-v1-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",CCM-v1-BAPI
ACS_CCM,CCM-Utilities-v1-PROD,"ext-prod-edge-1,ext-prod-edge-2,ext-prod-edge-3,ext-prod-edge-4,ext-prod-edge-5",ApiBanking-Login-v1
Avaloq,ApiBanking-Login-v1,"ext-preprod-1,ext-prod-1",CBG-CJ_CC-ApiBanking_Login-V1
Avaloq,Avaloq-hk-preprod,"ext-preprod-1,ext-preprod-2",COG_Avaloq_Balance_Inquiry
Avaloq,Avaloq-hk-preprod,"ext-preprod-1,ext-preprod-2",COG_Avaloq_Transaction_Inquiry
Avaloq,Avaloq-hk-preprod,"ext-preprod-1,ext-preprod-2",COG_Avaloq_Cash_Settlement
Avaloq,Avaloq-hk-preprod,"ext-preprod-1,ext-preprod-2",COG_Avaloq_Lien
Avaloq,CCM-UNIFIED-v1,ext-prod-1,ITG-CCM-Phase_2-V1
Avaloq,CCM-Email-v1,ext-prod-1,ITG-CCM-Phase_2-V1
Avaloq,Avaloq-hk,"ext-prod-1,ext-prod-2,ext-prod-3,ext-prod-4",COG_Avaloq_Balance_Inquiry
Avaloq,Avaloq-hk,"ext-prod-1,ext-prod-2,ext-prod-3,ext-prod-4",COG_Avaloq_Transaction_Inquiry
Avaloq,Avaloq-hk,"ext-prod-1,ext-prod-2,ext-prod-3,ext-prod-4",COG_Avaloq_Cash_Settlement
Avaloq,Avaloq-hk,"ext-prod-1,ext-prod-2,ext-prod-3,ext-prod-4",COG_Avaloq_Lien
Avaloq,ApiBanking-Login-v1,"ext-preprod-1,ext-prod-1",CBG-CJ_CC-ApiBanking_Login-V1
Avaloq,Avaloq-PB,"ext-prod-1,ext-prod-2,ext-prod-3,ext-prod-4",CBG-CJ_CC-ApiBanking_Login-V1
Avaloq,Avaloq-PB,"ext-prod-1,ext-prod-2,ext-prod-3,ext-prod-4",COG-CRM_CC-OPICS_CASABalance-V2
Avaloq,Avaloq-PB,"ext-prod-1,ext-prod-2,ext-prod-3,ext-prod-4",COG-CRM_CC-OPICS_CASATransactions-V2
Avaloq,Avaloq-PB,"ext-prod-1,ext-prod-2,ext-prod-3,ext-prod-4",COG-CRM_CC-OPICS_KYCFields-V2
OneLoyalty-GIFTWAY,OneLoyalty-VoucherWallet,"ext-prod-1,ext-prod-3",CBG-CJ_CC-ApiBanking_Login-V1
OneLoyalty-GIFTWAY,OneLoyalty-VoucherWallet,"ext-prod-1,ext-prod-3",Retail-OneLoyalty-VoucherWallet-V1
OneLoyalty-GIFTWAY,OneLoyalty-VoucherWallet,"ext-prod-1,ext-prod-3",Retail-OneLoyalty-VoucherWallet-V1
OneLoyalty-GIFTWAY,OneLoyalty-RewardsCard,"ext-prod-1,ext-prod-3",CBG-CJ_CC-ApiBanking_Login-V1
OneLoyalty-GIFTWAY,OneLoyalty-RewardsCard,"ext-prod-1,ext-prod-3",Retail-OneLoyalty-RewardsCard-V1
OneLoyalty-GIFTWAY,OneLoyalty-RewardsCard,"ext-prod-1,ext-prod-3",Retail-OneLoyalty-RewardsCard-V1
OneLoyalty-GIFTWAY,OneLoyalty-RewardsCard,"ext-prod-1,ext-prod-3",Retail-OneLoyalty-RewardsCard-V1
